name,time,CO2Concentration,Co2Concentration,deviceId,distance,environmentHumidity,environmentPressure,environmentTemperature,internalTemperature,nonContactWaterLevel,potentialOfHydrogen,totalDissolvedSolids,totalOrganicCompounds,waterFlow,waterTemperature
data_yaku,1629361863689000000,,-1,ESP32_473938,22,45.477,88425.062,23.59,44.444,0,6.334,1379.98,-1,0,21.125
data_yaku,1629361923321000000,,-1,ESP32_473938,22,45.546,88424.344,23.59,53.333,0,6.356,1379.98,-1,0,21.188
data_yaku,1629361983963000000,,-1,ESP32_473938,22,45.566,88428.797,23.59,44.444,0,6.291,1379.98,-1,0,21.188
data_yaku,1629362043618000000,,-1,ESP32_473938,22,45.587,88428.07,23.59,53.333,0,6.334,1379.98,-1,0,21.188
data_yaku,1629362103249000000,,-1,ESP32_473938,22,45.605,88427.688,23.58,53.333,0,6.356,1379.98,-1,0,21.188
data_yaku,1629362163883000000,,-1,ESP32_473938,22,45.646,88431.734,23.57,45,0,6.356,1379.98,-1,0,21.188
data_yaku,1629362223523000000,,-1,ESP32_473938,22,45.654,88434.359,23.56,44.444,0,6.291,1379.98,-1,0,21.125
data_yaku,1629362283169000000,,-1,ESP32_473938,22,45.625,88439.5,23.57,43.889,0,6.356,1379.98,-1,0,21.188
data_yaku,1629362343801000000,,-1,ESP32_473938,22,45.634,88437.719,23.55,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629362403444000000,,-1,ESP32_473938,22,45.572,88434.906,23.54,44.444,0,6.377,1379.98,-1,0,21.188
data_yaku,1629362463065000000,,-1,ESP32_473938,22,45.611,88432.141,23.54,53.333,0,6.356,1379.98,-1,0,21.188
data_yaku,1629362523709000000,,-1,ESP32_473938,22,45.603,88425.016,23.54,44.444,0,6.334,1379.98,-1,0,21.125
data_yaku,1629362583359000000,,-1,ESP32_473938,22,45.651,88427.039,23.54,44.444,0,6.312,1379.98,-1,0,21.062
